entity_id,subject_id,identity_percent,alignment_length,evalue,bitscore,query_length,subject_length,query_coverage_percent,author_symbol,subject_family
11,S00023,29.082,196,1.51e-19,85.1,509,521,41,PLRG1,PRPF4
11,S00023,28.025,157,5.56e-15,70.9,509,521,41,PLRG1,PRPF4
11,S00023,22.727,220,9.77e-15,70.1,509,521,41,PLRG1,PRPF4
11,S00092,29.082,196,1.65e-19,85.1,509,522,41,PLRG1,PRPF4
11,S00092,28.025,157,5.88e-15,70.9,509,522,41,PLRG1,PRPF4
11,S00092,22.727,220,1.03e-14,70.1,509,522,41,PLRG1,PRPF4
12,S00037,29.008,131,8.79e-19,75.9,326,144,40,BUD31,BUD31
15,S00241,33.197,244,2.12e-26,109,804,800,30,CDC5L,CDC5L
15,S00032,33.197,244,2.34e-26,109,804,802,30,CDC5L,CDC5L
17,S00239,26.226,530,3.04e-33,130,824,665,59,CRNL1,CRNKL1
17,S00239,26.316,171,5.01e-06,43.5,824,665,59,CRNL1,CRNKL1
17,S00239,21.687,166,5.28e-06,43.5,824,665,59,CRNL1,CRNKL1
17,S00192,26.415,530,3.82e-33,130,824,687,59,CRNL1,CRNKL1
17,S00192,26.316,171,3.72e-06,43.9,824,687,59,CRNL1,CRNKL1
17,S00192,21.687,166,5.66e-06,43.5,824,687,59,CRNL1,CRNKL1
17,S00035,26.038,530,4.76e-33,130,824,848,59,CRNL1,CRNKL1
17,S00035,26.316,171,2.23e-06,44.7,824,848,59,CRNL1,CRNKL1
17,S00035,21.687,166,2.43e-06,44.7,824,848,59,CRNL1,CRNKL1
17,S00001,22.785,237,8.15e-07,46.2,824,941,33,CRNL1,PRPF6
17,S00001,24.000,125,1.67e-04,38.9,824,941,33,CRNL1,PRPF6
17,S00001,23.118,186,4.45e-04,37.4,824,941,33,CRNL1,PRPF6
17,S00136,22.785,237,9.27e-07,46.2,824,850,33,CRNL1,PRPF6
17,S00136,24.000,125,1.91e-04,38.5,824,850,33,CRNL1,PRPF6
17,S00136,22.905,179,5.31e-04,37.0,824,850,33,CRNL1,PRPF6
17,S00033,24.378,201,1.19e-05,42.4,824,855,22,CRNL1,SYF1
17,S00238,24.378,201,1.99e-05,41.6,824,719,22,CRNL1,SYF1
18,S00238,22.266,759,5.78e-26,107,794,719,94,SYF1,SYF1
18,S00033,22.530,759,1.04e-25,107,794,855,94,SYF1,SYF1
19,S00098,50.708,706,0.0,729,1087,1220,65,PRP22,DHX8
19,S00063,50.708,706,0.0,729,1087,1220,65,PRP22,DHX8
19,S00263,50.714,700,0.0,719,1087,893,64,PRP22,DHX8
19,S00047,50.283,706,0.0,716,1087,1218,65,PRP22,DHX8
19,S00089,46.490,641,0.0,604,1087,1041,59,PRP22,DBP2
19,S00073,44.068,649,0.0,586,1087,1227,59,PRP22,DDX38
19,S00151,43.914,649,0.0,584,1087,1227,59,PRP22,DDX38
19,S00100,43.268,661,4.87e-179,538,1087,795,59,PRP22,DHX15
19,S00264,43.664,655,4.20e-175,524,1087,703,59,PRP22,DHX35
20,S00066,28.729,181,1.28e-18,77.8,307,255,59,U2A-40K,SNRPA1
20,S00043,28.177,181,1.69e-18,77.4,307,255,59,U2A-40K,SNRPA1
20,S00247,28.729,181,1.97e-18,75.5,307,175,59,U2A-40K,SNRPA1
20,S00114,28.729,181,3.17e-18,74.7,307,162,59,U2A-40K,SNRPA1
20,S00060,29.412,187,1.18e-17,75.1,307,256,61,U2A-40K,SNRPA1
21,S00248,36.364,88,1.04e-17,66.6,114,94,77,U2B,SNRPB2
21,S00115,36.364,88,1.13e-17,66.6,114,92,77,U2B,SNRPB2
21,S00135,36.538,104,9.68e-17,67.8,114,282,89,U2B,SNRPA
21,S00044,36.364,88,2.06e-16,66.2,114,225,77,U2B,SNRPB2
21,S00082,32.258,62,7.94e-06,36.6,114,125,54,U2B,SF3B6
21,S00177,37.097,62,6.87e-05,34.7,114,803,54,U2B,HTATSF1
21,S00141,37.097,62,7.90e-05,34.7,114,755,54,U2B,HTATSF1
21,S00220,26.087,92,8.68e-04,31.6,114,500,76,U2B,RBM22
22,S00184,29.921,127,4.87e-11,57.8,403,415,32,NKAP,NKAP
22,S00116,73.333,30,1.92e-08,43.9,403,30,7,NKAP,NKAP
23,S00237,27.273,561,7.93e-62,207,564,526,97,CWC22,CWC22
23,S00191,27.542,541,3.91e-59,199,564,500,94,CWC22,CWC22
23,S00040,27.273,561,6.68e-59,205,564,908,97,CWC22,CWC22
24,S00064,25.052,479,4.89e-24,98.2,417,586,95,SLU7,SLU7
24,S00233,35.838,173,1.05e-22,92.4,417,340,40,SLU7,SLU7
30,S00051,26.000,150,1.25e-10,52.0,192,177,78,PPIL1,CYP20
30,S00042,25.000,152,3.60e-09,47.8,192,166,77,PPIL1,PPIL1
30,S00123,25.000,152,4.03e-09,47.8,192,164,77,PPIL1,PPIL1
30,S00076,34.483,58,1.10e-07,45.1,192,754,30,PPIL1,PPIG
30,S00258,27.966,118,1.69e-07,44.3,192,577,61,PPIL1,PPWD1
30,S00075,27.966,118,1.73e-07,44.3,192,646,61,PPIL1,PPWD1
30,S00161,37.288,59,1.10e-06,42.0,192,520,31,PPIL1,PPIL2
30,S00045,33.333,81,1.16e-06,41.6,192,301,42,PPIL1,PPIE
30,S00186,33.898,59,1.34e-06,40.4,192,161,31,PPIL1,PPIL3
30,S00178,30.263,76,2.15e-05,38.1,192,492,39,PPIL1,PPIL4
31,S00124,34.219,301,1.64e-59,201,621,513,48,PRP17,PRPF17
31,S00029,34.219,301,2.12e-59,202,621,579,48,PRP17,PRPF17
31,S00050,22.468,316,1.46e-17,79.7,621,513,48,PRP17,SMU1
31,S00002,24.188,277,2.80e-17,77.8,621,357,45,PRP17,PRP8BP
31,S00002,20.946,148,4.66e-06,42.7,621,357,45,PRP17,PRP8BP
31,S00002,22.222,171,6.74e-05,38.9,621,357,45,PRP17,PRP8BP
31,S00112,22.526,293,5.92e-17,75.9,621,306,48,PRP17,PRP8BP
31,S00112,21.622,148,1.13e-05,41.2,621,306,48,PRP17,PRP8BP
31,S00112,22.222,171,1.80e-04,37.7,621,306,48,PRP17,PRP8BP
31,S00234,22.526,293,6.24e-17,75.9,621,305,48,PRP17,PRP8BP
31,S00234,21.622,148,1.04e-05,41.6,621,305,48,PRP17,PRP8BP
31,S00234,22.222,171,1.97e-04,37.4,621,305,48,PRP17,PRP8BP
31,S00061,22.659,331,6.62e-13,65.1,621,514,47,PRP17,PLRG1
31,S00028,22.659,331,7.69e-13,64.7,621,515,47,PRP17,PLRG1
31,S00028,24.342,152,1.32e-08,51.2,621,515,47,PRP17,PLRG1
31,S00266,21.561,269,7.29e-11,57.4,621,315,43,PRP17,WDR83
31,S00245,22.568,257,8.43e-11,57.4,621,321,37,PRP17,PLRG1
31,S00245,24.138,145,7.01e-08,48.5,621,321,37,PRP17,PLRG1
32,S00097,37.647,85,1.33e-07,45.4,269,285,26,ISY1,ISY1
32,S00070,37.647,85,1.70e-07,45.1,269,307,26,ISY1,ISY1
35,S00030,29.081,533,1.15e-56,191,513,504,99,PRP19,PRPF19
35,S00257,48.462,130,1.61e-33,118,513,134,25,PRP19,PRPF19
35,S00028,25.556,180,3.15e-08,49.7,513,515,35,PRP19,PLRG1
35,S00061,25.556,180,3.26e-08,49.7,513,514,35,PRP19,PLRG1
35,S00245,25.556,180,5.82e-08,48.1,513,321,35,PRP19,PLRG1
35,S00109,25.556,180,6.80e-08,48.1,513,320,35,PRP19,PLRG1
35,S00112,23.464,179,5.65e-07,45.1,513,306,50,PRP19,PRP8BP
35,S00112,24.066,241,4.46e-06,42.4,513,306,50,PRP19,PRP8BP
35,S00112,23.188,207,1.39e-04,37.7,513,306,50,PRP19,PRP8BP
35,S00234,23.464,179,6.04e-07,45.1,513,305,50,PRP19,PRP8BP
35,S00234,24.066,241,4.86e-06,42.0,513,305,50,PRP19,PRP8BP
35,S00234,23.188,207,1.58e-04,37.4,513,305,50,PRP19,PRP8BP
35,S00002,23.464,179,6.38e-07,45.1,513,357,50,PRP19,PRP8BP
35,S00002,23.333,240,4.49e-06,42.4,513,357,50,PRP19,PRP8BP
35,S00002,23.188,207,8.89e-05,38.5,513,357,50,PRP19,PRP8BP
35,S00266,24.167,240,9.16e-07,44.3,513,315,45,PRP19,WDR83
40,S00018,31.646,79,3.53e-17,66.6,116,139,68,LSm4,LSM4
40,S00020,25.373,67,3.23e-06,37.0,116,95,57,LSm4,LSM2
40,S00118,25.000,72,8.67e-05,33.1,116,84,62,LSm4,SNRPD3
40,S00251,25.000,72,1.05e-04,32.7,116,88,62,LSm4,SNRPD3
40,S00011,25.000,72,1.17e-04,33.5,116,126,62,LSm4,SNRPD3
40,S00200,30.435,46,6.76e-04,30.4,116,74,40,LSm4,SNRPG
40,S00014,30.435,46,6.86e-04,30.4,116,76,40,LSm4,SNRPG
40,S00121,30.435,46,7.37e-04,30.4,116,73,40,LSm4,SNRPG
42,S00016,29.032,62,3.62e-06,35.4,80,80,78,LSm6,LSM6
42,S00093,32.812,64,0.001,29.3,80,86,78,LSm6,SNRPE
42,S00013,32.812,64,0.001,29.3,80,86,78,LSm6,SNRPF
43,S00021,41.304,92,7.32e-14,56.2,91,103,90,LSm7,LSM7
43,S00015,31.343,67,3.41e-06,36.2,91,96,68,LSm7,LSM8
43,S00014,30.000,60,4.78e-06,35.4,91,76,65,LSm7,SNRPG
43,S00121,30.000,60,5.36e-06,35.4,91,73,65,LSm7,SNRPG
43,S00200,30.000,60,5.46e-06,35.4,91,74,65,LSm7,SNRPG
43,S00119,34.043,47,2.23e-04,31.2,91,81,51,LSm7,SNRPE
43,S00094,34.043,47,2.69e-04,31.2,91,92,51,LSm7,SNRPF
43,S00012,34.043,47,2.69e-04,31.2,91,92,51,LSm7,SNRPE
43,S00255,32.075,53,2.92e-04,30.8,91,80,57,LSm7,SNRPE
44,S00015,24.590,122,2.60e-07,40.4,131,96,93,LSm8,LSM8
44,S00201,23.469,98,1.19e-05,35.8,131,86,75,LSm8,SNRPB
44,S00199,23.469,98,1.21e-05,35.4,131,82,75,LSm8,SNRPB
44,S00117,23.469,98,1.43e-05,35.4,131,82,75,LSm8,SNRPB
44,S00252,23.469,98,2.08e-05,35.4,131,105,75,LSm8,SNRPB
44,S00200,33.333,39,2.36e-05,34.7,131,74,30,LSm8,SNRPG
44,S00014,33.333,39,2.58e-05,34.7,131,76,30,LSm8,SNRPG
44,S00121,33.333,39,2.65e-05,34.3,131,73,30,LSm8,SNRPG
44,S00021,39.130,46,2.92e-05,35.0,131,103,35,LSm8,LSM7
44,S00019,30.263,76,2.95e-04,32.3,131,102,58,LSm8,LSM3
46,S00122,47.222,72,1.46e-19,70.5,102,80,71,SmD1,SNRPD1
46,S00202,47.222,72,1.52e-19,70.5,102,82,71,SmD1,SNRPD1
46,S00253,47.222,72,1.58e-19,70.5,102,81,71,SmD1,SNRPD1
46,S00009,47.222,72,3.02e-19,70.9,102,119,71,SmD1,SNRPD1
46,S00011,28.889,90,5.56e-12,52.4,102,126,88,SmD1,SNRPD3
46,S00118,29.630,81,5.72e-11,48.9,102,84,79,SmD1,SNRPD3
46,S00251,29.630,81,6.39e-11,48.5,102,88,79,SmD1,SNRPD3
46,S00020,28.235,85,1.76e-09,45.1,102,95,81,SmD1,LSM2
46,S00018,32.203,59,5.51e-06,36.6,102,139,57,SmD1,LSM4
47,S00010,40.230,87,8.41e-17,64.7,103,118,75,SmD2,SNRPD2
47,S00254,40.230,87,9.86e-17,63.9,103,106,75,SmD2,SNRPD2
47,S00019,27.586,87,2.55e-09,45.1,103,102,76,SmD2,LSM3
47,S00119,22.973,74,1.96e-04,31.6,103,81,70,SmD2,SNRPE
47,S00255,22.973,74,2.08e-04,31.6,103,80,70,SmD2,SNRPE
47,S00094,22.973,74,2.56e-04,31.6,103,92,70,SmD2,SNRPF
47,S00012,22.973,74,2.56e-04,31.6,103,92,70,SmD2,SNRPE
49,S00251,32.099,81,1.01e-08,44.3,141,88,57,Sm16.5K,SNRPD3
49,S00118,32.099,81,1.23e-08,43.9,141,84,57,Sm16.5K,SNRPD3
49,S00011,30.682,88,1.35e-08,44.7,141,126,62,Sm16.5K,SNRPD3
50,S00119,33.333,78,1.71e-18,67.4,86,81,91,SmE,SNRPE
50,S00255,33.333,78,1.96e-18,67.0,86,80,91,SmE,SNRPE
50,S00094,33.333,78,2.52e-18,67.0,86,92,91,SmE,SNRPF
50,S00012,33.333,78,2.52e-18,67.0,86,92,91,SmE,SNRPE
50,S00017,32.787,61,1.61e-06,37.0,86,91,69,SmE,LSM5
51,S00256,52.239,67,1.08e-18,67.0,76,76,86,SmF,SNRPF
51,S00120,52.239,67,1.17e-18,67.0,76,72,86,SmF,SNRPF
51,S00093,52.239,67,1.55e-18,67.0,76,86,86,SmF,SNRPE
51,S00013,52.239,67,1.55e-18,67.0,76,86,86,SmF,SNRPF
51,S00016,31.081,74,3.77e-10,45.4,76,80,95,SmF,LSM6
51,S00018,30.435,69,2.16e-07,39.7,76,139,87,SmF,LSM4
51,S00251,35.556,45,1.04e-04,31.6,76,88,59,SmF,SNRPD3
51,S00121,32.258,62,1.52e-04,31.2,76,73,79,SmF,SNRPG
51,S00200,32.258,62,1.55e-04,31.2,76,74,79,SmF,SNRPG
51,S00011,35.556,45,1.56e-04,32.0,76,126,59,SmF,SNRPD3
52,S00014,35.821,67,1.38e-13,54.3,81,76,83,SmG,SNRPG
52,S00200,35.821,67,1.46e-13,54.3,81,74,83,SmG,SNRPG
52,S00121,35.821,67,1.59e-13,54.3,81,73,83,SmG,SNRPG
52,S00021,36.000,75,6.21e-12,50.8,81,103,89,SmG,LSM7
52,S00016,29.487,78,2.37e-04,30.8,81,80,94,SmG,LSM6
52,S00019,24.638,69,3.27e-04,30.8,81,102,75,SmG,LSM3
53,S00011,36.364,110,1.33e-19,72.4,113,126,97,SmD3,SNRPD3
53,S00251,40.964,83,1.46e-18,68.6,113,88,73,SmD3,SNRPD3
53,S00118,41.772,79,3.10e-18,67.8,113,84,70,SmD3,SNRPD3
53,S00018,33.784,74,2.78e-11,51.2,113,139,65,SmD3,LSM4
53,S00122,32.394,71,9.08e-10,45.8,113,80,63,SmD3,SNRPD1
53,S00202,36.111,72,1.00e-09,45.8,113,82,63,SmD3,SNRPD1
53,S00253,32.394,71,1.11e-09,45.8,113,81,63,SmD3,SNRPD1
53,S00009,32.394,71,1.14e-09,46.6,113,119,63,SmD3,SNRPD1
53,S00016,28.302,53,1.38e-04,32.3,113,80,47,SmD3,LSM6
54,S00252,47.368,76,8.61e-17,64.7,111,105,66,SmB,SNRPB
54,S00201,47.368,76,8.96e-17,63.9,111,86,66,SmB,SNRPB
54,S00117,47.368,76,9.13e-17,63.9,111,82,66,SmB,SNRPB
54,S00199,47.368,76,1.15e-16,63.5,111,82,66,SmB,SNRPB
54,S00074,47.368,76,6.15e-16,65.1,111,229,66,SmB,SNRPB
54,S00008,47.368,76,6.99e-16,65.1,111,240,66,SmB,SNRPB
54,S00065,47.368,76,7.84e-16,64.7,111,231,66,SmB,SNRPB
54,S00015,31.183,93,8.55e-08,41.2,111,96,84,SmB,LSM8
54,S00019,31.507,73,2.15e-07,40.0,111,102,61,SmB,LSM3
54,S00255,38.000,50,6.58e-06,35.8,111,80,45,SmB,SNRPE
