pdb_id,entity_id,chains,gene_name,curated_display_name,curated_color_key,homolog_relationship,homolog_target,annotation_note,annotation_source
9if7,11,LJ,LTAPH_3649600; PLRG1,PLRG1,PLRG1,author-assigned homolog,PLRG1,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KWH7. Local BLASTP best reference-family hit: PLRG1, 40.476% identity, 66% query coverage, E=3.80e-85. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,12,LL,LTAPH_0902600; BUD31,BUD31,BUD31,author-assigned homolog,BUD31,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KB76. Local BLASTP best reference-family hit: BUD31, 29.008% identity, 40% query coverage, E=8.79e-19. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,13,LN,LTAPH_2829800; U5-40K; PRP8BP,U5-40K,PRP8BP,author-assigned homolog,PRP8BP,Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KKK2. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if7,14,LP,LTAPH_9904201; CWC15,CWC15,CWC15,author-assigned homolog,CWC15,Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KWX5. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if7,15,LQ,LTAPH_1708300; CDC5L,CDC5L,CDC5L,author-assigned homolog,CDC5L,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KDH5. Local BLASTP best reference-family hit: CDC5L, 33.197% identity, 30% query coverage, E=2.12e-26. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,16,LR,LTAPH_0101900; CWC21,CWC21,LT_CWC21,functional analog,SRRM2; yeast Cwc21,Supplementary Table 2 explicitly italicizes human SRRM2 as a functional analog. Do not assign the Leishmania protein to full-length human SRRM2 on that basis. Deposited UniProt cross-reference: A0A640K740. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if7,17,LS,LTAPH_3644200; CRNL1; CRNKL1,CRNL1,CRNKL1,author-assigned homolog,CRNKL1,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KV53. Local BLASTP best reference-family hit: CRNKL1, 26.226% identity, 59% query coverage, E=3.04e-33. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,18,LT,LTAPH_2319600; SYF1,SYF1,SYF1,author-assigned homolog,SYF1,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KGK2. Local BLASTP best reference-family hit: SYF1, 22.266% identity, 94% query coverage, E=5.78e-26. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,19,LV,LTAPH_3629000; PRP22; DHX8,PRP22,DHX8,author-assigned homolog,DHX8,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KVV3. Local BLASTP best reference-family hit: DHX8, 50.708% identity, 65% query coverage, E=0.0. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,20,LW,LTAPH_3201800; U2A-40K; SNRPA1,U2A-40K,SNRPA1,author-assigned homolog,SNRPA1,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KNR9. Local BLASTP best reference-family hit: SNRPA1, 28.729% identity, 59% query coverage, E=1.28e-18. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,21,LY,LTAPH_2909200; LTAPH_2909931; U2B; SNRPB2,U2B,SNRPB2,author-assigned homolog,SNRPB2,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KKX2. Local BLASTP best reference-family hit: SNRPB2, 36.364% identity, 77% query coverage, E=1.04e-17. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,22,LZ,LTAPH_3306200; LTAPH_9910501; NKAP,NKAP,NKAP,author-assigned homolog,NKAP,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KXH6. Local BLASTP best reference-family hit: NKAP, 29.921% identity, 32% query coverage, E=4.87e-11. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,23,SA,LTAPH_3652800; CWC22,CWC22,CWC22,author-assigned homolog,CWC22,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KX85. Local BLASTP best reference-family hit: CWC22, 27.273% identity, 97% query coverage, E=7.93e-62. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,24,SC,LTAPH_0809200; SLU7,SLU7,SLU7,author-assigned homolog,SLU7,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KB40. Local BLASTP best reference-family hit: SLU7, 25.052% identity, 95% query coverage, E=4.89e-24. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,25,SD,LTAPH_2208700; PRP18; PRPF18,PRP18,PRPF18,author-assigned homolog,PRPF18,Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KFR7. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if7,26,SF,LTAPH_1601800; LtaPh_1601800,LtaPh_1601800,LT_LTAPH_1601800,structural / proposed functional analog,FAM192A; yeast Fyv6,"Only a helix is resolved at the FAM192A/Fyv6 site; function remains hypothetical. Supplementary Fig. 18 and Table 2. Main Fig. 4 caption spells LtaPh1601860; deposition, table and Source Data identify LtaPh_1601800. Deposited UniProt cross-reference: A0A640KDU3. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.",https://doi.org/10.1038/s41467-026-77480-6
9if7,27,SJ,LTAPH_3331300; PRC3,PRC3,LT_PRC3,functional analog,SYF2; yeast Syf2,Analogous position with different interaction network; human/yeast names italicized as analogs in Supplementary Table 2. Main Fig. 4; Supplementary Fig. 16. Deposited UniProt cross-reference: A0A640KRN7. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if7,28,SK,LTAPH_3322300; PRC5,PRC5,LT_PRC5,functional analog,CCDC12; yeast Ntc20,Analogous position with different interaction network; Supplementary Table 2 italicizes CCD12/Ntc20. CCD12 is the paper shorthand for CCDC12. Supplementary Fig. 16. Deposited UniProt cross-reference: A0A640KWM9. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if7,29,SL,SNW1,SNW1,SNW1,author-assigned homolog,SNW1,Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if7,30,SN,LTAPH_2301500; PPIL1,PPIL1,PPIL1,author-assigned homolog,PPIL1,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KHX2. Local BLASTP best reference-family hit: CYP20, 26.000% identity, 78% query coverage, E=1.25e-10. This is a sequence-similarity check, not proof of orthology. Cyclophilin paralogs are not resolved by the best-hit ranking; PPIL1 is retained from the authors' structural assignment.",https://doi.org/10.1038/s41467-026-77480-6
9if7,31,SO,LTAPH_2519400; PRP17; PRPF17,PRP17,PRPF17,author-assigned homolog,PRPF17,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KJ83. Local BLASTP best reference-family hit: PRPF17, 34.219% identity, 48% query coverage, E=1.64e-59. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,32,SP,LTAPH_0700200; ISY1,ISY1,ISY1,author-assigned homolog,ISY1,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KE26. Local BLASTP best reference-family hit: ISY1, 37.647% identity, 26% query coverage, E=1.33e-07. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,33,SQ,LTAPH_3441400; Zn-knuckle,Zn-knuckle,LT_ZN_KNUCKLE,positional analog,CASC3,Occupies the metazoan CASC3 position in the EJC; no CASC3 orthology established. Main Fig. 3; Supplementary Fig. 15; Table 2 lists unknown orthologs. Deposited UniProt cross-reference: A0A640KSY0. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if7,34,SS,LTAPH_3209700; SPF27; BCAS2,SPF27,BCAS2,author-assigned homolog,BCAS2,Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KPK5. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if7,35,ST; SU; SV; SW,LTAPH_2726100; PRP19; PRPF19,PRP19,PRPF19,author-assigned homolog,PRPF19,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KLK2. Local BLASTP best reference-family hit: PRPF19, 29.081% identity, 99% query coverage, E=1.15e-56. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,36,TN,LtaP16.0490,LtaP16.0490,LT_LTAP16_0490,noncanonical SF2 ATPase; orthology unresolved,,"Author assignment supported by density, sequence, AF2 interactions, SF2 fold and ATPase assay. Peer review explicitly withdraws DDX41 orthology/functional equivalence; shared PRP22 docking is architectural analogy only. Supplementary Fig. 21; Table 2. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.",https://doi.org/10.1038/s41467-026-77480-6
9if7,37,UX,UNK,UNK,LT_UNK,unidentified,,Deposited 21-residue unidentified factor near CACTIN; no invented gene or human homolog. Main Fig. 5. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained. 9IF8 PDBe polymer type is erroneous (RNA); peptide N/CA/C/O atoms and the paper support protein classification.,https://doi.org/10.1038/s41467-026-77480-6
9if7,38,62,LTAPH_1612400; LSm2; LSM2,LSm2,LSM2,author-assigned homolog,LSM2,Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KDV9. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if7,39,63,LTAPH_0505300; LSm3; LSM3,LSm3,LSM3,author-assigned homolog,LSM3,Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640K801. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if7,40,64,LSM4; LTAPH_3207800; LSm4; LSM4,LSm4,LSM4,author-assigned homolog,LSM4,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KQL9. Local BLASTP best reference-family hit: LSM4, 31.646% identity, 68% query coverage, E=3.53e-17. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,41,65,LTAPH_2810400; LSm5; LSM5,LSm5,LSM5,author-assigned homolog,LSM5,Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KR67. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if7,42,66,LTAPH_0101600; LSm6; LSM6,LSm6,LSM6,author-assigned homolog,LSM6,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640K754. Local BLASTP best reference-family hit: LSM6, 29.032% identity, 78% query coverage, E=3.62e-06. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,43,67,LTAPH_2600100; LSm7; LSM7,LSm7,LSM7,author-assigned homolog,LSM7,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KI01. Local BLASTP best reference-family hit: LSM7, 41.304% identity, 90% query coverage, E=7.32e-14. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,44,68,LTAPH_2517900; LSm8; LSM8,LSm8,LSM8,author-assigned homolog,LSM8,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KIZ1. Local BLASTP best reference-family hit: LSM8, 24.590% identity, 93% query coverage, E=2.60e-07. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,46,24; 51; U1,LTAPH_2210200; SmD1; SNRPD1,SmD1,SNRPD1,author-assigned homolog,SNRPD1,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KHR4. Local BLASTP best reference-family hit: SNRPD1, 47.222% identity, 71% query coverage, E=1.46e-19. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,47,25; 52; U2,LTAPH_3334400; SmD2; SNRPD2,SmD2,SNRPD2,author-assigned homolog,SNRPD2,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KR16. Local BLASTP best reference-family hit: SNRPD2, 40.230% identity, 75% query coverage, E=8.41e-17. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,48,2C,LTAPH_3030100; Sm15K,Sm15K,LT_SM15K,trypanosomatid-specific Sm variant,,U2-specific Sm-like subunit; do not use misleading UniProt Lsm5p label to assign to U6 LSM5. Supplementary Fig. 8a; Table 2; Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KNU1. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if7,49,2D,LTAPH_3605300; Sm16.5K,Sm16.5K,LT_SM16_5K,trypanosomatid-specific Sm variant,,"U2-specific Sm-like subunit; not a canonical SmB/SmD3 assignment. Supplementary Fig. 8a and Table 2. Deposited UniProt cross-reference: A0A640KZZ6. Local BLASTP best reference-family hit: SNRPD3, 32.099% identity, 57% query coverage, E=1.01e-08. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,50,2H; 5E; UE,LTAPH_3013200; SmE; SNRPE,SmE,SNRPE,author-assigned homolog,SNRPE,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KLY5. Local BLASTP best reference-family hit: SNRPE, 33.333% identity, 91% query coverage, E=1.71e-18. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,51,2I; 5F; UF,LTAPH_3544800; SmF; SNRPF,SmF,SNRPF,author-assigned homolog,SNRPF,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KUD7. Local BLASTP best reference-family hit: SNRPF, 52.239% identity, 86% query coverage, E=1.08e-18. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,52,2J; 5G; UG,LTAPH_3211600; SmG; SNRPG,SmG,SNRPG,author-assigned homolog,SNRPG,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KQ84. Local BLASTP best reference-family hit: SNRPG, 35.821% identity, 83% query coverage, E=1.38e-13. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,53,53; U3,LTAPH_3438000; SmD3; SNRPD3,SmD3,SNRPD3,author-assigned homolog,SNRPD3,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KTK0. Local BLASTP best reference-family hit: SNRPD3, 36.364% identity, 97% query coverage, E=1.33e-19. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if7,54,5B; UB,LTAPH_2720600; SmB; SNRPB,SmB,SNRPB,author-assigned homolog,SNRPB,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KQU2. Local BLASTP best reference-family hit: SNRPB, 47.368% identity, 66% query coverage, E=8.61e-17. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if8,1,LA,LTAPH_3539600; PRP8; PRPF8,PRP8,PRPF8,author-assigned homolog,PRPF8,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KTJ2. Local BLASTP best reference-family hit: PRPF8, 40.656% identity, 99% query coverage, E=0.0. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if8,2,LB,LTAPH_1710900; BRR2; SNRNP200,BRR2,SNRNP200,author-assigned homolog,SNRNP200,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KDJ4. Local BLASTP best reference-family hit: SNRNP200, 32.092% identity, 72% query coverage, E=0.0. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if8,3,LC,LTAPH_3223800; SNU114; EFTUD2,SNU114,EFTUD2,author-assigned homolog,EFTUD2,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KRB5. Local BLASTP best reference-family hit: EFTUD2, 29.811% identity, 85% query coverage, E=9.14e-117. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if8,4,LD,LTAPH_0406000; PRKRIP1,PRKRIP1,PRKRIP1,author-assigned homolog,PRKRIP1,Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KD47. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if8,5,LF,LTAPH_2824100; CACTIN,CACTIN,CACTIN,author-assigned homolog,CACTIN,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KRR3. Local BLASTP best reference-family hit: CACTIN, 39.837% identity, 17% query coverage, E=3.20e-23. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if8,6,LG,RBP1,RBP1,LT_RBP1,functional analog,PPIE RRM domain,Small RRM protein replaces the PPIE RRM function; whole-protein PPIE orthology is not established. Main Fig. 4b; Supplementary Tables 2 and 4. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if8,7,LH,SDE2-like,SDE2-like,LT_SDE2_LIKE,SDE2-like structural assignment,SDE2,"Conserved processing motif, UBL cleavage and SDE2-C placement support the author SDE2-like assignment; retain the qualified name. Supplementary Fig. 17; Tables 2 and 4; peer-review response. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.",https://doi.org/10.1038/s41467-026-77480-6
9if8,8,LJ,LTAPH_3649600; PLRG1,PLRG1,PLRG1,author-assigned homolog,PLRG1,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KWH7. Local BLASTP best reference-family hit: PLRG1, 40.476% identity, 66% query coverage, E=3.80e-85. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if8,9,LL,LTAPH_0902600; BUD31,BUD31,BUD31,author-assigned homolog,BUD31,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KB76. Local BLASTP best reference-family hit: BUD31, 29.008% identity, 40% query coverage, E=8.79e-19. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
9if8,10,LN,LTAPH_2829800; U5-40K; PRP8BP,U5-40K,PRP8BP,author-assigned homolog,PRP8BP,Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KKK2. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if8,11,LP,LTAPH_9904201; CWC15,CWC15,CWC15,author-assigned homolog,CWC15,Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KWX5. No significant hit in the local human spliceosomal reference set at E <= 0.001; author structural assignment retained.,https://doi.org/10.1038/s41467-026-77480-6
9if8,12,LQ,LTAPH_1708300; CDC5L,CDC5L,CDC5L,author-assigned homolog,CDC5L,"Supplementary Table 2; corroborating accession and mass-spectrometry annotation in Supplementary Data 1 and Source Data Fig. 1h. Deposited UniProt cross-reference: A0A640KDH5. Local BLASTP best reference-family hit: CDC5L, 33.197% identity, 30% query coverage, E=2.12e-26. This is a sequence-similarity check, not proof of orthology.",https://doi.org/10.1038/s41467-026-77480-6
