member,feature,label,start,end,coverage,confidence,method
8qp8:4,U4_U6_stem_I_partner,U4/U6 stem I partner,1,18,1.000,high,reference-alignment
8qp8:4,U4_U6_stem_II_partner,U4/U6 stem II partner,56,64,1.000,high,reference-alignment
8qp8:4,U4_Brr2_loading_region,Brr2 loading region,60,95,1.000,medium,reference-alignment
8qp9:4,U4_U6_stem_I_partner,U4/U6 stem I partner,1,18,1.000,high,reference-alignment
8qp9:4,U4_U6_stem_II_partner,U4/U6 stem II partner,56,64,1.000,high,reference-alignment
8qp9:4,U4_Brr2_loading_region,Brr2 loading region,60,95,1.000,medium,reference-alignment
8qpa:4,U4_U6_stem_I_partner,U4/U6 stem I partner,1,18,1.000,high,reference-alignment
8qpa:4,U4_U6_stem_II_partner,U4/U6 stem II partner,56,64,1.000,high,reference-alignment
8qpa:4,U4_Brr2_loading_region,Brr2 loading region,60,95,1.000,medium,reference-alignment
8qpb:4,U4_U6_stem_I_partner,U4/U6 stem I partner,1,18,1.000,high,reference-alignment
8qpb:4,U4_U6_stem_II_partner,U4/U6 stem II partner,56,64,1.000,high,reference-alignment
8qpb:4,U4_Brr2_loading_region,Brr2 loading region,60,95,1.000,medium,reference-alignment
8qpe:4,U4_U6_stem_I_partner,U4/U6 stem I partner,1,18,1.000,high,reference-alignment
8qpe:4,U4_U6_stem_II_partner,U4/U6 stem II partner,56,64,1.000,high,reference-alignment
8qpe:4,U4_Brr2_loading_region,Brr2 loading region,60,95,1.000,medium,reference-alignment
8qpk:4,U4_U6_stem_I_partner,U4/U6 stem I partner,1,18,1.000,high,reference-alignment
8qpk:4,U4_U6_stem_II_partner,U4/U6 stem II partner,56,64,1.000,high,reference-alignment
8qpk:4,U4_Brr2_loading_region,Brr2 loading region,60,95,1.000,medium,reference-alignment
8qxd:4,U4_U6_stem_I_partner,U4/U6 stem I partner,1,18,1.000,high,reference-alignment
8qxd:4,U4_U6_stem_II_partner,U4/U6 stem II partner,56,64,1.000,high,reference-alignment
8qxd:4,U4_Brr2_loading_region,Brr2 loading region,60,95,1.000,medium,reference-alignment
8qxd:4,U4_Sm_site,Sm site,119,125,1.000,medium,sequence-motif
8qzs:4,U4_U6_stem_I_partner,U4/U6 stem I partner,1,18,1.000,high,reference-alignment
8qzs:4,U4_U6_stem_II_partner,U4/U6 stem II partner,56,64,1.000,high,reference-alignment
8qzs:4,U4_Brr2_loading_region,Brr2 loading region,60,95,1.000,medium,reference-alignment
8qzs:4,U4_Sm_site,Sm site,119,125,1.000,medium,sequence-motif
8r08:4,U4_U6_stem_I_partner,U4/U6 stem I partner,1,18,1.000,high,reference-alignment
8r08:4,U4_U6_stem_II_partner,U4/U6 stem II partner,56,64,1.000,high,reference-alignment
8r08:4,U4_Brr2_loading_region,Brr2 loading region,60,95,1.000,medium,reference-alignment
8r08:4,U4_Sm_site,Sm site,119,125,1.000,medium,sequence-motif
8r09:4,U4_U6_stem_I_partner,U4/U6 stem I partner,1,18,1.000,high,reference-alignment
8r09:4,U4_U6_stem_II_partner,U4/U6 stem II partner,56,64,1.000,high,reference-alignment
8r09:4,U4_Brr2_loading_region,Brr2 loading region,60,95,1.000,medium,reference-alignment
8r09:4,U4_Sm_site,Sm site,119,125,1.000,medium,sequence-motif
8r0a:4,U4_U6_stem_I_partner,U4/U6 stem I partner,1,18,1.000,high,reference-alignment
8r0a:4,U4_U6_stem_II_partner,U4/U6 stem II partner,56,64,1.000,high,reference-alignment
8r0a:4,U4_Brr2_loading_region,Brr2 loading region,60,95,1.000,medium,reference-alignment
8r0a:4,U4_Sm_site,Sm site,119,125,1.000,medium,sequence-motif
8r0b:4,U4_U6_stem_I_partner,U4/U6 stem I partner,1,18,1.000,high,reference-alignment
8r0b:4,U4_U6_stem_II_partner,U4/U6 stem II partner,56,64,1.000,high,reference-alignment
8r0b:4,U4_Brr2_loading_region,Brr2 loading region,60,95,1.000,medium,reference-alignment
8r0b:4,U4_Sm_site,Sm site,119,125,1.000,medium,sequence-motif
8rm5:4,U4_U6_stem_I_partner,U4/U6 stem I partner,1,18,1.000,high,reference-alignment
8rm5:4,U4_U6_stem_II_partner,U4/U6 stem II partner,56,64,1.000,high,reference-alignment
8rm5:4,U4_Brr2_loading_region,Brr2 loading region,60,95,1.000,medium,reference-alignment
8rm5:4,U4_Sm_site,Sm site,119,125,1.000,medium,sequence-motif
